TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
23:28:14.036 python3        2679478 nvme1n1 WS   304089600  131072    3.737
23:28:14.036 python3        2679478 nvme1n1 WS   304089856  131072    3.738
23:28:14.036 python3        2679478 nvme1n1 WS   304095744  131072    3.810
23:28:14.036 python3        2679478 nvme1n1 WS   304096000  131072    3.889
23:28:14.036 python3        2679475 nvme1n1 WS   304022016  131072    3.973
23:28:14.036 python3        2679475 nvme1n1 WS   304022272  131072    4.034
23:28:14.036 python3        2679475 nvme1n1 WS   304022528  131072    4.111
23:28:14.036 python3        2679475 nvme1n1 WS   304022784  131072    4.187
23:28:14.036 python3        2679475 nvme1n1 WS   304023040  131072    4.258
23:28:14.036 python3        2679475 nvme1n1 WS   304023296  131072    4.332
23:28:14.036 python3        2679475 nvme1n1 WS   304023552  131072    4.401
23:28:14.036 python3        2679475 nvme1n1 WS   304023808  131072    4.433
23:28:14.036 python3        2679475 nvme1n1 WS   304024064  131072    4.505
23:28:14.036 python3        2679475 nvme1n1 WS   304024320  131072    4.583
23:28:14.037 python3        2679475 nvme1n1 WS   304024576  131072    4.656
23:28:14.037 python3        2679475 nvme1n1 WS   304024832  131072    4.725
23:28:14.037 python3        2679475 nvme1n1 WS   304025088  131072    4.804
23:28:14.037 python3        2679477 nvme1n1 WS   304030208  131072    4.877
23:28:14.037 python3        2679477 nvme1n1 WS   304030464  131072    4.941
23:28:14.037 python3        2679477 nvme1n1 WS   304030720  131072    5.014
23:28:14.037 python3        2679477 nvme1n1 WS   304030976  131072    5.090
23:28:14.037 python3        2679477 nvme1n1 WS   304031232  131072    5.159
23:28:14.037 python3        2679477 nvme1n1 WS   304031488  131072    5.230
23:28:14.037 python3        2679477 nvme1n1 WS   304031744  131072    5.304
23:28:14.037 python3        2679475 nvme1n1 WS   304025344  131072    5.379
23:28:14.037 python3        2679475 nvme1n1 WS   303861248  131072    5.450
23:28:14.038 python3        2679477 nvme1n1 WS   304032000  131072    5.478
23:28:14.038 python3        2679477 nvme1n1 WS   304032256  131072    5.555
23:28:14.038 python3        2679477 nvme1n1 WS   304032512  131072    5.625
23:28:14.038 python3        2679477 nvme1n1 WS   304032768  131072    5.701
23:28:14.038 python3        2679477 nvme1n1 WS   304033024  131072    5.771
23:28:14.038 python3        2679477 nvme1n1 WS   304033280  131072    5.846
23:28:14.038 python3        2679478 nvme1n1 WS   304038400  131072    5.909
23:28:14.038 python3        2679475 nvme1n1 WS   303861504  131072    5.989
23:28:14.038 python3        2679475 nvme1n1 WS   303866880  131072    6.050
23:28:14.038 python3        2679475 nvme1n1 WS   303867136  131072    6.125
23:28:14.038 python3        2679478 nvme1n1 WS   304038656  131072    6.210
23:28:14.038 python3        2679478 nvme1n1 WS   304038912  131072    6.278
23:28:14.038 python3        2679478 nvme1n1 WS   304039168  131072    6.355
23:28:14.038 python3        2679478 nvme1n1 WS   304039424  131072    6.424
23:28:14.039 python3        2679478 nvme1n1 WS   304039680  131072    6.499
23:28:14.039 python3        2679478 nvme1n1 WS   304039936  131072    6.606
23:28:14.039 python3        2679477 nvme1n1 WS   304033536  131072    6.689
23:28:14.039 python3        2679477 nvme1n1 WS   303992320  131072    6.762
23:28:14.039 python3        2679478 nvme1n1 WS   304040192  131072    6.795
23:28:14.039 python3        2679478 nvme1n1 WS   303301632  131072    6.878
23:28:14.039 python3        2679478 nvme1n1 WS   304046592  131072    6.954
23:28:14.039 python3        2679478 nvme1n1 WS   304046848  131072    7.021
23:28:14.039 python3        2679478 nvme1n1 WS   304047104  131072    7.093
23:28:14.039 python3        2679478 nvme1n1 WS   304047360  131072    7.167
23:28:14.039 python3        2679478 nvme1n1 WS   304040448  131072    7.262
23:28:14.039 python3        2679478 nvme1n1 WS   304040704  131072    7.335
23:28:14.040 python3        2679478 nvme1n1 WS   304040960  131072    7.405
23:28:14.040 python3        2679478 nvme1n1 WS   303301888  131072    7.500
23:28:14.040 python3        2679478 nvme1n1 WS   303302144  131072    7.572
23:28:14.040 python3        2679478 nvme1n1 WS   304041216  131072    7.640
23:28:14.040 python3        2679478 nvme1n1 WS   304041472  131072    7.711
23:28:14.040 python3        2679478 nvme1n1 WS   304047616  131072    7.792
23:28:14.040 python3        2679478 nvme1n1 WS   304047872  131072    7.866
23:28:14.040 python3        2679478 nvme1n1 WS   304048128  131072    7.938
23:28:14.040 python3        2679475 nvme1n1 WS   304054784  131072    8.017
23:28:14.040 python3        2679475 nvme1n1 WS   304055040  131072    8.087
23:28:14.040 python3        2679477 nvme1n1 WS   303992576  131072    8.177
23:28:14.040 python3        2679477 nvme1n1 WS   304103936  131072    8.250
23:28:14.040 python3        2679477 nvme1n1 WS   304104192  131072    8.324
23:28:14.041 python3        2679475 nvme1n1 WS   304055296  131072    8.398
23:28:14.041 python3        2679475 nvme1n1 WS   304055552  131072    8.470
23:28:14.041 python3        2679475 nvme1n1 WS   304055808  131072    8.542
23:28:14.041 python3        2679476 nvme1n1 WS   303309824  131072    8.631
23:28:14.041 python3        2679476 nvme1n1 WS   303310080  131072    8.697
23:28:14.041 python3        2679477 nvme1n1 WS   303303680  131072    8.798
23:28:14.041 python3        2679477 nvme1n1 WS   303303936  131072    8.860
23:28:14.041 python3        2679476 nvme1n1 WS   303310336  131072    8.939
23:28:14.041 python3        2679475 nvme1n1 WS   304056064  131072    9.018
23:28:14.041 python3        2679475 nvme1n1 WS   304056320  131072    9.088
23:28:14.041 python3        2679478 nvme1n1 WS   304048384  131072    9.160
23:28:14.041 python3        2679478 nvme1n1 WS   304048640  131072    9.235
23:28:14.045 python3        2679478 nvme1n1 WS   304048896  131072    9.313
23:28:14.045 python3        2679478 nvme1n1 WS   304049152  131072    9.863
23:28:14.045 python3        2679478 nvme1n1 WS   304049408  131072    9.935
23:28:14.045 python3        2679478 nvme1n1 WS   304049664  131072   10.006
23:28:14.045 python3        2679475 nvme1n1 WS   304056576  131072   10.082
23:28:14.045 python3        2679475 nvme1n1 WS   304056832  131072   10.153
23:28:14.045 python3        2679475 nvme1n1 WS   304057088  131072   10.227
23:28:14.045 python3        2679475 nvme1n1 WS   304057344  131072   10.706
23:28:14.045 python3        2679475 nvme1n1 WS   304057600  131072   10.779
23:28:14.045 python3        2679475 nvme1n1 WS   304057856  131072   10.856
23:28:14.045 python3        2679478 nvme1n1 WS   304049920  131072   11.852
23:28:14.045 python3        2679478 nvme1n1 WS   304071168  131072   11.923
23:28:14.045 python3        2679477 nvme1n1 WS   303304192  131072    9.420
23:28:14.045 python3        2679477 nvme1n1 WS   303304448  131072   11.185
23:28:14.045 python3        2679477 nvme1n1 WS   304349696  131072   11.259
23:28:14.045 python3        2679477 nvme1n1 WS   304349952  131072   12.008
23:28:14.045 python3        2679477 nvme1n1 WS   304350208  131072   12.082
23:28:14.045 python3        2679477 nvme1n1 WS   304350464  131072   12.158
23:28:14.045 python3        2679477 nvme1n1 WS   304350720  131072   12.233
23:28:14.045 python3        2679477 nvme1n1 WS   304350976  131072   12.308
23:28:14.045 python3        2679477 nvme1n1 WS   304351232  131072   12.380
23:28:14.045 python3        2679478 nvme1n1 WS   303302400  131072    9.492
23:28:14.045 python3        2679478 nvme1n1 WS   304112128  131072    9.560
23:28:14.045 python3        2679478 nvme1n1 WS   304112384  131072    9.632
23:28:14.045 python3        2679478 nvme1n1 WS   304112640  131072   10.338
23:28:14.045 python3        2679478 nvme1n1 WS   304112896  131072   10.407
23:28:14.045 python3        2679478 nvme1n1 WS   304113152  131072   10.480
23:28:14.045 python3        2679478 nvme1n1 WS   304113408  131072   10.558
23:28:14.045 python3        2679478 nvme1n1 WS   304113664  131072   10.637
23:28:14.045 python3        2679478 nvme1n1 WS   304113920  131072   11.375
23:28:14.045 python3        2679478 nvme1n1 WS   304114176  131072   12.485
23:28:14.045 python3        2679478 nvme1n1 WS   304041728  131072    9.721
23:28:14.045 python3        2679478 nvme1n1 WS   304062976  131072    9.795
23:28:14.045 python3        2679476 nvme1n1 WS   303310592  131072   10.947
23:28:14.045 python3        2679476 nvme1n1 WS   304120320  131072   11.023
23:28:14.045 python3        2679476 nvme1n1 WS   304120576  131072   11.100
23:28:14.045 python3        2679476 nvme1n1 WS   304120832  131072   11.451
23:28:14.045 python3        2679476 nvme1n1 WS   304121088  131072   11.526
23:28:14.045 python3        2679476 nvme1n1 WS   304121344  131072   11.603
23:28:14.045 python3        2679476 nvme1n1 WS   304121600  131072   11.679
23:28:14.045 python3        2679476 nvme1n1 WS   304121856  131072   11.756
23:28:14.045 python3        2679478 nvme1n1 WS   304114432  131072   12.556
23:28:14.045 python3        2679478 nvme1n1 WS   304114688  131072   12.635
23:28:14.045 python3        2679478 nvme1n1 WS   304063232  131072   12.718
23:28:14.045 python3        2679478 nvme1n1 WS   304128512  131072   12.789
23:28:14.045 python3        2679478 nvme1n1 WS   304128768  131072   12.867
23:28:14.045 python3        2679475 nvme1n1 WS   304058112  131072   12.945
23:28:14.045 python3        2679475 nvme1n1 WS   304097792  131072   13.020
23:28:14.045 python3        2679476 nvme1n1 WS   304122112  131072   13.091
23:28:14.045 python3        2679476 nvme1n1 WS   304122368  131072   13.153
23:28:14.046 python3        2679477 nvme1n1 WS   304351488  131072   13.228
23:28:14.046 python3        2679476 nvme1n1 WS   304122624  131072   13.313
23:28:14.046 python3        2679476 nvme1n1 WS   304122880  131072   13.387
23:28:14.046 python3        2679477 nvme1n1 WS   304351744  131072   13.470
