TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
06:38:54.194 nvme           1951000 Unknown N    -1         512       0.033
06:38:55.196 nvme           1951061 Unknown N    -1         512       0.031
06:38:56.099 python3        1784369 nvme1n1 WS   64163840   131072    0.184
06:38:56.099 python3        1784369 nvme1n1 WS   64164096   131072    0.260
06:38:56.100 python3        1784369 nvme1n1 WS   64164352   131072    0.347
06:38:56.100 python3        1784369 nvme1n1 WS   64164608   131072    0.403
06:38:56.100 python3        1784369 nvme1n1 WS   64164864   131072    0.474
06:38:56.100 python3        1784369 nvme1n1 WS   64165120   131072    0.567
06:38:56.100 python3        1784369 nvme1n1 WS   64165376   131072    0.637
06:38:56.100 python3        1784369 nvme1n1 WS   64165632   131072    0.699
06:38:56.100 python3        1784369 nvme1n1 WS   64165888   131072    0.767
06:38:56.100 python3        1784369 nvme1n1 WS   64166144   131072    0.850
06:38:56.100 python3        1784369 nvme1n1 WS   64166400   131072    0.932
06:38:56.100 python3        1784366 nvme1n1 WS   64167936   131072    1.019
06:38:56.100 python3        1784366 nvme1n1 WS   64172032   131072    1.101
06:38:56.100 python3        1784369 nvme1n1 WS   64166656   131072    1.176
06:38:56.101 python3        1784369 nvme1n1 WS   64166912   131072    1.256
06:38:56.101 python3        1784369 nvme1n1 WS   64167168   131072    1.335
06:38:56.101 python3        1784369 nvme1n1 WS   64167424   131072    1.413
06:38:56.101 python3        1784369 nvme1n1 WS   64167680   131072    1.479
06:38:56.101 python3        1784369 nvme1n1 WS   64176128   131072    1.560
06:38:56.101 python3        1784366 nvme1n1 WS   64168192   131072    1.680
06:38:56.101 python3        1784366 nvme1n1 WS   64168448   131072    1.751
06:38:56.101 python3        1784366 nvme1n1 WS   64168704   131072    1.833
06:38:56.101 python3        1784366 nvme1n1 WS   64168960   131072    1.913
06:38:56.101 python3        1784366 nvme1n1 WS   64169216   131072    1.994
06:38:56.101 python3        1784366 nvme1n1 WS   64169472   131072    2.072
06:38:56.101 python3        1784366 nvme1n1 WS   64172288   131072    2.172
06:38:56.102 python3        1784366 nvme1n1 WS   64172544   131072    2.241
06:38:56.102 python3        1784366 nvme1n1 WS   64172800   131072    2.313
06:38:56.102 python3        1784366 nvme1n1 WS   64173056   131072    2.385
06:38:56.102 python3        1784366 nvme1n1 WS   64173312   131072    2.460
06:38:56.102 python3        1784366 nvme1n1 WS   64173568   131072    2.535
06:38:56.102 python3        1784369 nvme1n1 WS   64176384   131072    2.598
06:38:56.102 python3        1784366 nvme1n1 WS   64173824   131072    2.677
06:38:56.102 python3        1784366 nvme1n1 WS   64174080   131072    2.744
06:38:56.102 python3        1784366 nvme1n1 WS   64174336   131072    2.823
06:38:56.102 python3        1784366 nvme1n1 WS   64174592   131072    2.895
06:38:56.102 python3        1784366 nvme1n1 WS   64174848   131072    2.970
06:38:56.102 python3        1784366 nvme1n1 WS   64175104   131072    3.048
06:38:56.102 python3        1784366 nvme1n1 WS   64175360   131072    3.119
06:38:56.103 python3        1784366 nvme1n1 WS   64169728   131072    3.272
06:38:56.103 python3        1784366 nvme1n1 WS   64169984   131072    3.288
06:38:56.103 python3        1784366 nvme1n1 WS   64170240   131072    3.361
06:38:56.103 python3        1784366 nvme1n1 WS   64170496   131072    3.435
06:38:56.103 python3        1784366 nvme1n1 WS   64170752   131072    3.514
06:38:56.103 python3        1784366 nvme1n1 WS   64171008   131072    3.588
