TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
13:44:23.200 kworker        2500470 nvme1n1 W    1130046200 8192      0.055
13:44:25.558 python3        2290920 nvme1n1 WS   632790016  131072    6.179
13:44:25.558 python3        2290920 nvme1n1 WS   632790272  131072    6.251
13:44:25.559 python3        2290920 nvme1n1 WS   632790528  131072    6.360
13:44:25.559 python3        2290920 nvme1n1 WS   632790784  131072    6.413
13:44:25.559 python3        2290920 nvme1n1 WS   632799232  131072    6.481
13:44:25.559 python3        2290920 nvme1n1 WS   632799488  131072    6.553
13:44:25.559 python3        2290921 nvme1n1 WS   632795136  131072    6.628
13:44:25.559 python3        2290921 nvme1n1 WS   632795392  131072    6.697
13:44:25.559 python3        2290921 nvme1n1 WS   632795648  131072    6.770
13:44:25.559 python3        2290921 nvme1n1 WS   632795904  131072    6.842
13:44:25.559 python3        2290921 nvme1n1 WS   632796160  131072    6.916
13:44:25.559 python3        2290921 nvme1n1 WS   632796416  131072    6.993
13:44:25.559 python3        2290921 nvme1n1 WS   632796672  131072    7.070
13:44:25.559 python3        2290923 nvme1n1 WS   632815616  131072    7.153
13:44:25.560 python3        2290923 nvme1n1 WS   632815872  131072    7.223
13:44:25.560 python3        2290923 nvme1n1 WS   632816128  131072    7.299
13:44:25.560 python3        2290923 nvme1n1 WS   632816384  131072    7.375
13:44:25.560 python3        2290923 nvme1n1 WS   632816640  131072    7.447
13:44:25.560 python3        2290923 nvme1n1 WS   632816896  131072    7.521
13:44:25.560 python3        2290923 nvme1n1 WS   632817152  131072    7.595
13:44:25.560 python3        2290923 nvme1n1 WS   632817408  131072    7.644
13:44:25.560 python3        2290923 nvme1n1 WS   632817664  131072    7.717
13:44:25.560 python3        2290923 nvme1n1 WS   632817920  131072    7.789
13:44:25.560 python3        2290923 nvme1n1 WS   632818176  131072    7.863
13:44:25.560 python3        2290923 nvme1n1 WS   632818432  131072    7.937
13:44:25.560 python3        2290921 nvme1n1 WS   632796928  131072    8.053
13:44:25.560 python3        2290921 nvme1n1 WS   632797184  131072    8.123
13:44:25.561 python3        2290921 nvme1n1 WS   632797440  131072    8.200
13:44:25.561 python3        2290921 nvme1n1 WS   632797696  131072    8.276
13:44:25.561 python3        2290921 nvme1n1 WS   632797952  131072    8.354
13:44:25.561 python3        2290921 nvme1n1 WS   632798208  131072    8.426
13:44:25.561 python3        2290921 nvme1n1 WS   632798464  131072    8.504
13:44:25.561 python3        2290921 nvme1n1 WS   632798720  131072    8.587
13:44:25.561 python3        2290923 nvme1n1 WS   632818688  131072    8.655
13:44:25.561 python3        2290923 nvme1n1 WS   632818944  131072    8.728
13:44:25.561 python3        2290923 nvme1n1 WS   632819200  131072    8.803
13:44:25.561 python3        2290923 nvme1n1 WS   632819456  131072    8.862
13:44:25.561 python3        2290923 nvme1n1 WS   632819712  131072    8.933
13:44:25.561 python3        2290923 nvme1n1 WS   632819968  131072    9.008
13:44:25.562 python3        2290921 nvme1n1 WS   632798976  131072    9.110
13:44:25.562 python3        2290921 nvme1n1 WS   632803328  131072    9.183
13:44:25.562 python3        2290921 nvme1n1 WS   632803584  131072    9.264
13:44:25.562 python3        2290921 nvme1n1 WS   632807424  131072    9.262
13:44:25.562 python3        2290921 nvme1n1 WS   632807680  131072    9.323
13:44:25.562 python3        2290921 nvme1n1 WS   632807936  131072    9.398
13:44:25.562 python3        2290921 nvme1n1 WS   632808192  131072    9.473
13:44:25.562 python3        2290921 nvme1n1 WS   632808448  131072    9.550
13:44:25.562 python3        2290921 nvme1n1 WS   632808704  131072    9.629
