TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
13:56:01.867 python3        2290922 nvme1n1 WS   170012672  131072    6.007
13:56:01.867 python3        2290922 nvme1n1 WS   170012928  131072    6.082
13:56:01.867 python3        2290921 nvme1n1 WS   804343808  131072    6.205
13:56:01.867 python3        2290921 nvme1n1 WS   804344064  131072    6.269
13:56:01.867 python3        2290921 nvme1n1 WS   804344320  131072    6.343
13:56:01.867 python3        2290921 nvme1n1 WS   804344576  131072    6.417
13:56:01.867 python3        2290921 nvme1n1 WS   804344832  131072    6.490
13:56:01.867 python3        2290921 nvme1n1 WS   804345088  131072    6.566
13:56:01.867 python3        2290921 nvme1n1 WS   804345344  131072    6.642
13:56:01.867 python3        2290923 nvme1n1 WS   804339456  131072    6.748
13:56:01.867 python3        2290923 nvme1n1 WS   804347904  131072    6.804
13:56:01.867 python3        2290923 nvme1n1 WS   804348160  131072    6.881
13:56:01.867 python3        2290921 nvme1n1 WS   804345600  131072    6.931
13:56:01.867 python3        2290921 nvme1n1 WS   804345856  131072    6.995
13:56:01.867 python3        2290921 nvme1n1 WS   804346112  131072    7.068
13:56:01.867 python3        2290921 nvme1n1 WS   804346368  131072    7.143
13:56:01.868 python3        2290921 nvme1n1 WS   804346624  131072    7.217
13:56:01.868 python3        2290922 nvme1n1 WS   804352000  131072    7.304
13:56:01.868 python3        2290922 nvme1n1 WS   804352256  131072    7.378
13:56:01.868 python3        2290922 nvme1n1 WS   804352512  131072    7.453
13:56:01.868 python3        2290922 nvme1n1 WS   804352768  131072    7.529
13:56:01.868 python3        2290922 nvme1n1 WS   804353024  131072    7.598
13:56:01.868 python3        2290922 nvme1n1 WS   804353280  131072    7.674
13:56:01.868 python3        2290922 nvme1n1 WS   804353536  131072    7.750
13:56:01.868 python3        2290921 nvme1n1 WS   804346880  131072    7.851
13:56:01.868 python3        2290921 nvme1n1 WS   804347136  131072    7.918
13:56:01.868 python3        2290921 nvme1n1 WS   804347392  131072    7.994
13:56:01.868 python3        2290921 nvme1n1 WS   804347648  131072    8.043
13:56:01.868 python3        2290921 nvme1n1 WS   804360192  131072    8.119
13:56:01.869 python3        2290921 nvme1n1 WS   804360448  131072    8.197
13:56:01.869 python3        2290920 nvme1n1 WS   804356096  131072    8.292
13:56:01.869 python3        2290920 nvme1n1 WS   804356352  131072    8.359
13:56:01.869 python3        2290920 nvme1n1 WS   804356608  131072    8.432
13:56:01.869 python3        2290920 nvme1n1 WS   804356864  131072    8.510
13:56:01.869 python3        2290922 nvme1n1 WS   804353792  131072    8.597
13:56:01.869 python3        2290922 nvme1n1 WS   804354048  131072    8.664
13:56:01.869 python3        2290922 nvme1n1 WS   804354304  131072    8.734
13:56:01.869 python3        2290922 nvme1n1 WS   804354560  131072    8.810
13:56:01.869 python3        2290922 nvme1n1 WS   804354816  131072    8.880
13:56:01.869 python3        2290922 nvme1n1 WS   804355072  131072    8.952
13:56:01.869 python3        2290920 nvme1n1 WS   804357120  131072    9.044
13:56:01.869 python3        2290920 nvme1n1 WS   804357376  131072    9.117
13:56:01.870 python3        2290920 nvme1n1 WS   804357632  131072    9.196
13:56:01.870 python3        2290922 nvme1n1 WS   804355328  131072    9.270
13:56:01.870 python3        2290922 nvme1n1 WS   804355584  131072    9.344
13:56:01.871 python3        2290921 nvme1n1 WS   804364288  131072    9.428
