TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
06:39:32.385 python3        1784368 nvme1n1 WS   77011968   131072    6.641
06:39:32.385 python3        1784368 nvme1n1 WS   77012224   131072    6.720
06:39:32.385 python3        1784368 nvme1n1 WS   77012480   131072    6.831
06:39:32.385 python3        1784368 nvme1n1 WS   77012736   131072    6.897
06:39:32.385 python3        1784368 nvme1n1 WS   77012992   131072    6.974
06:39:32.386 python3        1784368 nvme1n1 WS   77013248   131072    7.052
06:39:32.386 python3        1784366 nvme1n1 WS   316366848  131072    7.165
06:39:32.386 python3        1784366 nvme1n1 WS   316367104  131072    7.231
06:39:32.386 python3        1784366 nvme1n1 WS   316367360  131072    7.303
06:39:32.386 python3        1784366 nvme1n1 WS   316367616  131072    7.378
06:39:32.386 python3        1784366 nvme1n1 WS   316367872  131072    7.450
06:39:32.386 python3        1784366 nvme1n1 WS   316368128  131072    7.534
06:39:32.386 python3        1784368 nvme1n1 WS   64458752   131072    7.638
06:39:32.386 python3        1784368 nvme1n1 WS   64459008   131072    7.704
06:39:32.386 python3        1784368 nvme1n1 WS   64459264   131072    7.778
06:39:32.386 python3        1784368 nvme1n1 WS   64459520   131072    7.857
06:39:32.386 python3        1784368 nvme1n1 WS   64459776   131072    7.935
06:39:32.387 python3        1784368 nvme1n1 WS   64460032   131072    8.012
06:39:32.387 python3        1784368 nvme1n1 WS   64460288   131072    8.087
06:39:32.387 python3        1784367 nvme1n1 WS   64462848   131072    8.189
06:39:32.387 python3        1784367 nvme1n1 WS   64463104   131072    8.262
06:39:32.387 python3        1784367 nvme1n1 WS   64463360   131072    8.339
06:39:32.387 python3        1784367 nvme1n1 WS   64463616   131072    8.413
06:39:32.387 python3        1784367 nvme1n1 WS   64463872   131072    8.491
06:39:32.387 python3        1784367 nvme1n1 WS   64464128   131072    8.567
06:39:32.387 python3        1784367 nvme1n1 WS   64464384   131072    8.644
06:39:32.387 python3        1784369 nvme1n1 WS   64466944   131072    8.743
06:39:32.387 python3        1784369 nvme1n1 WS   64467200   131072    8.813
06:39:32.387 python3        1784369 nvme1n1 WS   64467456   131072    8.889
06:39:32.387 python3        1784369 nvme1n1 WS   64467712   131072    8.964
06:39:32.388 python3        1784369 nvme1n1 WS   64467968   131072    9.040
06:39:32.388 python3        1784369 nvme1n1 WS   64468224   131072    9.120
06:39:32.388 python3        1784369 nvme1n1 WS   64468480   131072    9.197
06:39:32.388 python3        1784369 nvme1n1 WS   64468736   131072    9.263
06:39:32.388 python3        1784369 nvme1n1 WS   64468992   131072    9.339
06:39:32.388 python3        1784369 nvme1n1 WS   64469248   131072    9.413
06:39:32.388 python3        1784369 nvme1n1 WS   64469504   131072    9.490
06:39:32.388 python3        1784369 nvme1n1 WS   64469760   131072    9.567
06:39:32.388 python3        1784369 nvme1n1 WS   64470016   49152     9.596
06:39:32.388 python3        1784366 nvme1n1 WS   316368384  131072    9.709
06:39:32.388 python3        1784366 nvme1n1 WS   316368640  131072    9.763
06:39:32.388 python3        1784366 nvme1n1 WS   316368896  131072    9.837
06:39:32.388 python3        1784366 nvme1n1 WS   316369152  131072    9.915
06:39:32.389 python3        1784366 nvme1n1 WS   316369408  131072    9.988
06:39:32.389 python3        1784366 nvme1n1 WS   316369664  131072   10.066
06:39:32.389 python3        1784366 nvme1n1 WS   316369920  49152    10.092
06:39:32.389 python3        1784368 nvme1n1 WS   64460544   131072   10.204
06:39:32.389 python3        1784368 nvme1n1 WS   64460800   131072   10.278
06:39:32.389 python3        1784368 nvme1n1 WS   64461056   131072   10.353
06:39:32.389 python3        1784368 nvme1n1 WS   64461312   131072   10.432
06:39:32.389 python3        1784368 nvme1n1 WS   64461568   131072   10.510
06:39:32.389 python3        1784368 nvme1n1 WS   64461824   49152    10.540
06:39:32.389 python3        1784367 nvme1n1 WS   64464640   131072   10.634
06:39:32.389 python3        1784367 nvme1n1 WS   64464896   131072   10.709
06:39:32.389 python3        1784367 nvme1n1 WS   64465152   131072   10.777
06:39:32.389 python3        1784367 nvme1n1 WS   64465408   131072   10.851
06:39:32.389 python3        1784367 nvme1n1 WS   64465664   131072   10.925
06:39:32.390 python3        1784367 nvme1n1 WS   64465920   49152    10.954
06:39:32.390 python3        1784366 nvme1n1 WS   316370944  131072   11.046
06:39:32.390 python3        1784366 nvme1n1 WS   316371200  131072   11.115
06:39:32.390 python3        1784366 nvme1n1 WS   316371456  131072   11.189
06:39:32.390 python3        1784366 nvme1n1 WS   316371712  131072   11.264
06:39:32.390 python3        1784366 nvme1n1 WS   316371968  131072   11.338
06:39:32.390 python3        1784366 nvme1n1 WS   316372224  131072   11.415
06:39:32.390 python3        1784366 nvme1n1 WS   316372480  131072   11.520
06:39:32.390 python3        1784369 nvme1n1 WS   64471040   131072   11.601
06:39:32.390 python3        1784369 nvme1n1 WS   64471296   131072   11.668
06:39:32.390 python3        1784369 nvme1n1 WS   64471552   131072   11.744
06:39:32.390 python3        1784367 nvme1n1 WS   316375040  131072   11.828
06:39:32.391 python3        1784367 nvme1n1 WS   316375296  131072   11.902
06:39:32.391 python3        1784367 nvme1n1 WS   316375552  131072   11.977
06:39:32.391 python3        1784367 nvme1n1 WS   316375808  131072   12.051
06:39:32.391 python3        1784367 nvme1n1 WS   316376064  131072   12.129
06:39:32.391 python3        1784367 nvme1n1 WS   316376320  131072   12.206
06:39:32.391 python3        1784367 nvme1n1 WS   316376576  131072   12.291
06:39:32.391 python3        1784367 nvme1n1 WS   316376832  131072   12.342
06:39:32.391 python3        1784367 nvme1n1 WS   316377088  131072   12.421
06:39:32.391 python3        1784367 nvme1n1 WS   316377344  131072   12.501
