TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
23:16:59.441 python3        2679476 nvme1n1 WS   182202880  131072    3.888
23:16:59.441 python3        2679476 nvme1n1 WS   182203136  131072    3.901
23:16:59.441 python3        2679476 nvme1n1 WS   182203392  131072    3.971
23:16:59.441 python3        2679476 nvme1n1 WS   182203648  131072    4.048
23:16:59.441 python3        2679476 nvme1n1 WS   181973504  131072    3.732
23:16:59.441 python3        2679476 nvme1n1 WS   181973760  131072    3.804
23:16:59.441 python3        2679476 nvme1n1 WS   181974016  131072    3.878
23:16:59.441 python3        2679476 nvme1n1 WS   181974272  131072    3.952
23:16:59.441 python3        2679476 nvme1n1 WS   181974528  131072    4.031
23:16:59.442 python3        2679476 nvme1n1 WS   181974784  131072    4.105
23:16:59.442 python3        2679476 nvme1n1 WS   181975040  131072    4.181
23:16:59.442 python3        2679476 nvme1n1 WS   181975296  131072    4.251
23:16:59.442 python3        2679476 nvme1n1 WS   181975552  131072    4.300
23:16:59.442 python3        2679476 nvme1n1 WS   181975808  131072    4.372
23:16:59.442 python3        2679476 nvme1n1 WS   181976064  131072    4.450
23:16:59.442 python3        2679476 nvme1n1 WS   181976320  131072    4.526
23:16:59.442 python3        2679476 nvme1n1 WS   181976576  131072    4.599
23:16:59.442 python3        2679476 nvme1n1 WS   181976832  131072    4.651
23:16:59.442 python3        2679476 nvme1n1 WS   181959168  131072    4.727
23:16:59.442 python3        2679476 nvme1n1 WS   181959424  131072    4.751
23:16:59.442 python3        2679476 nvme1n1 WS   181981696  131072    4.821
23:16:59.442 python3        2679476 nvme1n1 WS   181981952  131072    4.900
23:16:59.443 python3        2679475 nvme1n1 WS   181989888  131072    4.797
23:16:59.443 python3        2679475 nvme1n1 WS   181990144  131072    4.866
23:16:59.443 python3        2679475 nvme1n1 WS   181990400  131072    4.940
23:16:59.443 python3        2679475 nvme1n1 WS   181990656  131072    5.014
23:16:59.443 python3        2679475 nvme1n1 WS   181990912  131072    5.091
23:16:59.443 python3        2679475 nvme1n1 WS   181991168  131072    5.172
23:16:59.443 python3        2679475 nvme1n1 WS   181991424  131072    5.239
23:16:59.443 python3        2679475 nvme1n1 WS   181991680  131072    5.285
23:16:59.443 python3        2679475 nvme1n1 WS   181991936  131072    5.362
23:16:59.443 python3        2679475 nvme1n1 WS   181992192  131072    5.468
23:16:59.443 python3        2679475 nvme1n1 WS   181992448  131072    5.543
23:16:59.443 python3        2679475 nvme1n1 WS   181992704  131072    5.619
23:16:59.444 python3        2679475 nvme1n1 WS   181992960  131072    5.697
23:16:59.444 python3        2679475 nvme1n1 WS   181993216  131072    5.745
23:16:59.444 python3        2679475 nvme1n1 WS   181983744  131072    5.820
23:16:59.444 python3        2679475 nvme1n1 WS   181984000  131072    5.845
23:16:59.444 python3        2679475 nvme1n1 WS   181998080  131072    5.926
23:16:59.444 python3        2679475 nvme1n1 WS   181998336  131072    6.003
23:16:59.444 python3        2679477 nvme1n1 WS   181417984  131072    6.040
23:16:59.444 python3        2679477 nvme1n1 WS   181418240  131072    6.107
23:16:59.444 python3        2679477 nvme1n1 WS   181418496  131072    6.186
23:16:59.444 python3        2679477 nvme1n1 WS   181418752  131072    6.223
23:16:59.444 python3        2679477 nvme1n1 WS   182006272  131072    6.296
23:16:59.444 python3        2679477 nvme1n1 WS   182006528  131072    6.372
23:16:59.445 python3        2679477 nvme1n1 WS   182006784  131072    6.449
23:16:59.445 python3        2679477 nvme1n1 WS   182007040  131072    6.521
23:16:59.445 python3        2679477 nvme1n1 WS   182007296  131072    6.594
23:16:59.445 python3        2679477 nvme1n1 WS   182007552  131072    6.683
23:16:59.445 python3        2679477 nvme1n1 WS   182007808  131072    6.741
23:16:59.445 python3        2679477 nvme1n1 WS   182008064  131072    6.799
23:16:59.445 python3        2679477 nvme1n1 WS   182008320  131072    6.875
23:16:59.445 python3        2679477 nvme1n1 WS   182008576  131072    6.951
23:16:59.445 python3        2679477 nvme1n1 WS   182008832  131072    7.023
23:16:59.445 python3        2679477 nvme1n1 WS   184734472  131072    7.089
23:16:59.445 python3        2679477 nvme1n1 WS   184734728  131072    7.159
23:16:59.445 python3        2679477 nvme1n1 WS   182211072  131072    7.248
23:16:59.445 python3        2679477 nvme1n1 WS   182211328  131072    7.314
23:16:59.446 python3        2679477 nvme1n1 WS   184734984  131072    7.391
23:16:59.446 python3        2679477 nvme1n1 WS   184735240  131072    7.466
23:16:59.446 python3        2679477 nvme1n1 WS   184735496  131072    7.542
23:16:59.446 python3        2679477 nvme1n1 WS   184735752  131072    7.615
23:16:59.446 python3        2679477 nvme1n1 WS   184736008  131072    7.692
23:16:59.446 python3        2679477 nvme1n1 WS   182211584  131072    7.786
23:16:59.446 python3        2679477 nvme1n1 WS   182211840  131072    7.860
23:16:59.446 python3        2679477 nvme1n1 WS   182212096  131072    7.938
23:16:59.446 python3        2679477 nvme1n1 WS   182212352  131072    8.016
23:16:59.446 python3        2679477 nvme1n1 WS   182212608  131072    8.099
23:16:59.446 python3        2679477 nvme1n1 WS   182009088  131072    8.149
23:16:59.446 python3        2679477 nvme1n1 WS   182018560  131072    8.223
23:16:59.446 python3        2679477 nvme1n1 WS   182018816  131072    8.302
23:16:59.447 python3        2679477 nvme1n1 WS   182212864  131072    8.392
23:16:59.447 python3        2679477 nvme1n1 WS   182213120  131072    8.464
23:16:59.447 python3        2679477 nvme1n1 WS   184736264  131072    8.542
23:16:59.447 python3        2679477 nvme1n1 WS   184736520  131072    8.619
23:16:59.447 python3        2679477 nvme1n1 WS   184736776  131072    8.700
23:16:59.447 python3        2679477 nvme1n1 WS   184737032  131072    8.778
23:16:59.447 python3        2679477 nvme1n1 WS   184737288  131072    8.857
23:16:59.447 python3        2679477 nvme1n1 WS   184737544  131072    8.935
23:16:59.447 python3        2679477 nvme1n1 WS   182213376  131072    9.028
23:16:59.447 python3        2679477 nvme1n1 WS   182213632  131072    9.104
23:16:59.447 python3        2679477 nvme1n1 WS   182213888  131072    9.182
23:16:59.447 python3        2679477 nvme1n1 WS   182214144  131072    9.260
23:16:59.448 python3        2679477 nvme1n1 WS   1376952832 131072    9.350
23:16:59.448 python3        2679477 nvme1n1 WS   1376953088 131072    9.424
23:16:59.448 python3        2679477 nvme1n1 WS   1376953344 131072    9.504
23:16:59.448 python3        2679477 nvme1n1 WS   1376953600 131072    9.584
23:16:59.448 python3        2679477 nvme1n1 WS   1376953856 131072    9.657
23:16:59.448 python3        2679477 nvme1n1 WS   1376954112 131072    9.738
23:16:59.448 python3        2679477 nvme1n1 WS   1376954368 131072    9.824
23:16:59.448 python3        2679477 nvme1n1 WS   184737800  131072    9.905
23:16:59.448 python3        2679477 nvme1n1 WS   184738056  131072    9.979
23:16:59.448 python3        2679477 nvme1n1 WS   184738312  131072   10.071
23:16:59.448 python3        2679477 nvme1n1 WS   182214400  131072   10.149
23:16:59.448 python3        2679477 nvme1n1 WS   184738568  131072   10.226
23:16:59.449 python3        2679477 nvme1n1 WS   184738824  131072   10.302
23:16:59.449 python3        2679477 nvme1n1 WS   182219264  131072   10.382
23:16:59.449 python3        2679477 nvme1n1 WS   1376954624 131072   10.449
23:16:59.449 python3        2679477 nvme1n1 WS   1376954880 131072   10.519
23:16:59.449 python3        2679477 nvme1n1 WS   1376955136 131072   10.596
23:16:59.449 python3        2679477 nvme1n1 WS   1376955392 131072   10.674
23:16:59.449 python3        2679477 nvme1n1 WS   1376955648 131072   10.751
23:16:59.449 python3        2679477 nvme1n1 WS   1376955904 131072   10.825
23:16:59.449 python3        2679477 nvme1n1 WS   1376956160 131072   10.873
23:16:59.449 python3        2679477 nvme1n1 WS   1376946688 131072   10.950
23:16:59.449 python3        2679477 nvme1n1 WS   182219520  131072   11.027
23:16:59.449 python3        2679477 nvme1n1 WS   182219776  131072   11.101
23:16:59.449 python3        2679477 nvme1n1 WS   182220032  131072   11.174
23:16:59.450 python3        2679477 nvme1n1 WS   1376946944 131072   11.200
23:16:59.450 python3        2679477 nvme1n1 WS   1376928768 131072   11.274
23:16:59.450 python3        2679477 nvme1n1 WS   1376929024 131072   11.352
23:16:59.450 python3        2679475 nvme1n1 WS   181681152  131072   11.010
23:16:59.450 python3        2679475 nvme1n1 WS   182022656  131072   11.088
23:16:59.450 python3        2679475 nvme1n1 WS   182022912  131072   11.157
23:16:59.450 python3        2679475 nvme1n1 WS   181681408  131072   11.239
23:16:59.450 python3        2679475 nvme1n1 WS   181681664  131072   11.319
23:16:59.450 python3        2679475 nvme1n1 WS   182023168  131072   11.401
23:16:59.450 python3        2679475 nvme1n1 WS   182023424  131072   11.477
23:16:59.450 python3        2679475 nvme1n1 WS   182023680  131072   11.551
23:16:59.450 python3        2679475 nvme1n1 WS   182023936  131072   11.627
23:16:59.451 python3        2679475 nvme1n1 WS   182024192  131072   11.700
23:16:59.451 python3        2679475 nvme1n1 WS   182024448  131072   11.744
23:16:59.451 python3        2679475 nvme1n1 WS   182024704  131072   11.822
23:16:59.451 python3        2679475 nvme1n1 WS   182024960  131072   11.900
23:16:59.451 python3        2679475 nvme1n1 WS   182025216  131072   11.980
23:16:59.451 python3        2679475 nvme1n1 WS   182025472  131072   12.054
23:16:59.451 python3        2679475 nvme1n1 WS   182025728  131072   12.136
23:16:59.451 python3        2679475 nvme1n1 WS   181681920  131072   12.241
23:16:59.451 python3        2679475 nvme1n1 WS   182227456  131072   12.289
23:16:59.451 python3        2679475 nvme1n1 WS   182227712  131072   12.365
23:16:59.451 python3        2679476 nvme1n1 WS   1376961024 131072   12.452
23:16:59.451 python3        2679476 nvme1n1 WS   1376961280 131072   12.524
23:16:59.451 python3        2679476 nvme1n1 WS   1376961536 131072   12.596
23:16:59.452 python3        2679476 nvme1n1 WS   1376961792 131072   12.671
23:16:59.452 python3        2679476 nvme1n1 WS   1376962048 131072   12.745
23:16:59.452 python3        2679476 nvme1n1 WS   1376962304 131072   12.821
23:16:59.452 python3        2679476 nvme1n1 WS   1376962560 131072   12.895
23:16:59.452 python3        2679475 nvme1n1 WS   182227968  131072   12.978
23:16:59.452 python3        2679475 nvme1n1 WS   182228224  131072   13.050
23:16:59.452 python3        2679475 nvme1n1 WS   182228480  131072   13.122
23:16:59.452 python3        2679475 nvme1n1 WS   182228736  131072   13.193
23:16:59.452 python3        2679475 nvme1n1 WS   182228992  131072   13.268
23:16:59.452 python3        2679476 nvme1n1 WS   1376962816 131072   13.336
23:16:59.452 python3        2679476 nvme1n1 WS   1376963072 131072   13.408
23:16:59.452 python3        2679475 nvme1n1 WS   182025984  131072   13.491
23:16:59.452 python3        2679475 nvme1n1 WS   181958656  131072   13.562
23:16:59.453 python3        2679476 nvme1n1 WS   1376963328 131072   13.638
23:16:59.453 python3        2679476 nvme1n1 WS   1376963584 131072   13.714
23:16:59.453 python3        2679476 nvme1n1 WS   1376963840 131072   13.793
23:16:59.453 python3        2679476 nvme1n1 WS   1376964096 131072   13.871
23:16:59.453 python3        2679475 nvme1n1 WS   182229248  131072   13.950
23:16:59.453 python3        2679475 nvme1n1 WS   182229504  131072   14.024
23:16:59.453 python3        2679475 nvme1n1 WS   182229760  131072   14.097
23:16:59.453 python3        2679475 nvme1n1 WS   182230016  131072   14.173
23:16:59.453 python3        2679476 nvme1n1 WS   1376964352 131072   14.278
23:16:59.453 python3        2679476 nvme1n1 WS   1376969216 131072   14.355
23:16:59.453 python3        2679475 nvme1n1 WS   181958912  131072   14.426
23:16:59.453 python3        2679475 nvme1n1 WS   182030848  131072   14.481
23:16:59.454 python3        2679475 nvme1n1 WS   182031104  131072   14.557
23:16:59.454 python3        2679476 nvme1n1 WS   1376969472 131072   14.600
23:16:59.454 python3        2679476 nvme1n1 WS   1376969728 131072   14.676
23:16:59.454 python3        2679476 nvme1n1 WS   1376969984 131072   14.752
23:16:59.454 python3        2679475 nvme1n1 WS   182230272  131072   14.804
23:16:59.454 python3        2679475 nvme1n1 WS   182235648  131072   14.877
23:16:59.454 python3        2679475 nvme1n1 WS   182235904  131072   14.956
23:16:59.454 python3        2679475 nvme1n1 WS   1376977408 131072   14.867
23:16:59.454 python3        2679475 nvme1n1 WS   1376977664 131072   14.942
23:16:59.454 python3        2679475 nvme1n1 WS   1376977920 131072   15.026
23:16:59.454 python3        2679475 nvme1n1 WS   1376978176 131072   15.096
23:16:59.454 python3        2679475 nvme1n1 WS   1376978432 131072   15.170
23:16:59.454 python3        2679475 nvme1n1 WS   1376978688 131072   15.241
23:16:59.455 python3        2679475 nvme1n1 WS   1376978944 131072   15.332
23:16:59.455 python3        2679475 nvme1n1 WS   1376979200 131072   15.354
23:16:59.455 python3        2679475 nvme1n1 WS   1376979456 131072   15.432
23:16:59.455 python3        2679475 nvme1n1 WS   1376979712 131072   15.503
23:16:59.455 python3        2679475 nvme1n1 WS   1376979968 131072   15.572
23:16:59.455 python3        2679475 nvme1n1 WS   1376980224 131072   15.643
23:16:59.455 python3        2679475 nvme1n1 WS   1376980480 131072   15.720
23:16:59.455 python3        2679475 nvme1n1 WS   1376980736 131072   15.767
23:16:59.455 python3        2679475 nvme1n1 WS   1376985600 131072   15.840
23:16:59.455 python3        2679475 nvme1n1 WS   1376985856 131072   15.868
23:16:59.455 python3        2679475 nvme1n1 WS   1376986112 131072   15.943
23:16:59.455 python3        2679475 nvme1n1 WS   1376986368 131072   16.020
23:16:59.455 python3        2679476 nvme1n1 WS   182039040  131072   14.683
23:16:59.456 python3        2679476 nvme1n1 WS   182039296  131072   14.750
23:16:59.456 python3        2679476 nvme1n1 WS   182039552  131072   14.826
23:16:59.456 python3        2679476 nvme1n1 WS   182039808  131072   14.897
23:16:59.456 python3        2679476 nvme1n1 WS   182040064  131072   14.970
23:16:59.456 python3        2679476 nvme1n1 WS   182040320  131072   15.047
23:16:59.456 python3        2679476 nvme1n1 WS   182040576  131072   15.133
23:16:59.456 python3        2679476 nvme1n1 WS   182040832  131072   15.170
23:16:59.456 python3        2679476 nvme1n1 WS   182041088  131072   15.256
23:16:59.456 python3        2679476 nvme1n1 WS   182041344  131072   15.324
23:16:59.456 python3        2679476 nvme1n1 WS   182041600  131072   15.396
23:16:59.456 python3        2679476 nvme1n1 WS   182041856  131072   15.471
23:16:59.456 python3        2679476 nvme1n1 WS   182042112  131072   15.548
23:16:59.457 python3        2679476 nvme1n1 WS   182042368  131072   15.595
23:16:59.457 python3        2679476 nvme1n1 WS   181941760  131072   15.671
23:16:59.457 python3        2679476 nvme1n1 WS   181942016  131072   15.662
23:16:59.457 python3        2679476 nvme1n1 WS   181942272  131072   15.736
23:16:59.457 python3        2679476 nvme1n1 WS   181942528  131072   15.812
23:16:59.457 python3        2679476 nvme1n1 WS   182047232  131072   15.248
23:16:59.457 python3        2679476 nvme1n1 WS   182047488  131072   15.315
23:16:59.457 python3        2679476 nvme1n1 WS   182047744  131072   15.391
23:16:59.457 python3        2679476 nvme1n1 WS   182048000  131072   15.470
23:16:59.457 python3        2679476 nvme1n1 WS   182048256  131072   15.546
23:16:59.457 python3        2679476 nvme1n1 WS   182048512  131072   15.619
23:16:59.457 python3        2679476 nvme1n1 WS   182048768  131072   15.696
23:16:59.457 python3        2679476 nvme1n1 WS   182049024  131072   15.745
23:16:59.458 python3        2679476 nvme1n1 WS   182049280  131072   15.825
23:16:59.458 python3        2679476 nvme1n1 WS   182049536  131072   15.901
23:16:59.458 python3        2679476 nvme1n1 WS   182049792  131072   15.978
23:16:59.458 python3        2679476 nvme1n1 WS   182050048  131072   16.053
23:16:59.458 python3        2679476 nvme1n1 WS   182050304  131072   16.133
23:16:59.458 python3        2679476 nvme1n1 WS   182050560  131072   16.184
23:16:59.458 python3        2679476 nvme1n1 WS   182000128  131072   16.260
23:16:59.458 python3        2679476 nvme1n1 WS   182000384  131072   16.310
23:16:59.458 python3        2679476 nvme1n1 WS   182055424  131072   16.385
23:16:59.458 python3        2679476 nvme1n1 WS   182055680  131072   16.461
23:16:59.458 python3        2679476 nvme1n1 WS   182063616  131072   13.901
23:16:59.458 python3        2679476 nvme1n1 WS   182063872  131072   13.972
